ID,Edad,Género,Ingresos,Locación,Gasto Comida (MXN),Frecuencia (mes),Canal Preferido,Calificación Sabor
73,26,Fem,$10k-$20k,Sur,1480,5,Didi Food,9
74,43,Fem,> $35k,Reliz,3350,2,Pick-up,8
75,23,Masc,< $10k,Norte,1120,3,En sucursal,9
76,37,Masc,$20k-$35k,Centro,2780,4,Uber Eats,10
77,28,Fem,$10k-$20k,Sur,1620,1,Didi Food,9
78,44,Fem,> $35k,Reliz,3650,3,Pick-up,8
79,20,N.B.,< $10k,Centro,830,2,En sucursal,9
80,31,Masc,$20k-$35k,Norte,2480,5,Uber Eats,10
81,25,Fem,$10k-$20k,Sur,1570,4,Didi Food,9
82,41,Masc,> $35k,Reliz,3420,3,Pick-up,8
83,22,Masc,< $10k,Centro,960,6,En sucursal,10
84,36,Fem,$20k-$35k,Norte,2620,2,Uber Eats,9
85,29,Masc,$10k-$20k,Sur,1690,4,Didi Food,8
86,47,Fem,> $35k,Reliz,3880,1,Pick-up,9
87,21,Fem,< $10k,Norte,1080,3,En sucursal,10
88,34,Masc,$20k-$35k,Centro,2750,5,Uber Eats,9
89,24,Fem,$10k-$20k,Sur,1540,4,Didi Food,8
90,49,Masc,> $35k,Reliz,3980,2,Pick-up,9
91,23,Masc,< $10k,Centro,910,1,En sucursal,10
92,32,Fem,$20k-$35k,Norte,2410,4,Uber Eats,9
93,27,Fem,$10k-$20k,Sur,1630,3,Didi Food,8
94,45,Masc,> $35k,Reliz,3550,5,Pick-up,9
95,19,Masc,< $10k,Centro,840,2,En sucursal,10
96,30,Fem,$20k-$35k,Norte,2530,4,Uber Eats,9
97,26,Masc,$10k-$20k,Sur,1590,3,Didi Food,8
98,42,Fem,> $35k,Reliz,3680,1,Pick-up,9
99,22,Masc,< $10k,Centro,970,4,En sucursal,10
100,25,Fem,$10k-$20k,Norte,1710,5,Uber Eats,9
